id,year,description,instructions,warning_message,active,createdAt,updatedAt,ModelId,ShopId,slug
300,1972-1980,,,,true,2020-01-14 07:32:49.517+00,2020-01-14 07:32:49.517+00,106,1,1972-1980
312,1967-1972,,,,true,2020-02-10 16:21:27.931+00,2020-02-10 16:21:27.931+00,98,1,1967-1972
334,1972-1980,,,,true,2020-03-12 17:29:48.548+00,2020-03-12 17:29:48.548+00,100,1,1972-1980
167,1999-2003,,,,true,2019-09-09 19:45:04.603+00,2020-01-14 07:49:26.43+00,,1,1999-2003
291,2005-2010,,,,true,2019-09-09 19:45:05.8+00,2020-08-21 14:10:14.491+00,126,1,2005-2010
346,1998-2001 (Sport Only),,,,true,2020-08-18 21:15:47.731+00,2020-09-14 15:35:17.209+00,101,1,1998-2001_sport
349,2001-2003 (SuperCrew Only),,,,true,2020-09-14 15:43:26.04+00,2020-09-14 15:46:07.292+00,66,1,2001-2003_supercrew
281,2016-2019,,,,true,2019-09-09 19:45:05.633+00,2020-09-17 22:45:07.866+00,117,1,2016-2019
240,2001-2005,,,,true,2019-09-09 19:45:05.177+00,2020-11-11 23:08:38.809+00,97,1,2001-2005
328,2018-2022,,,,true,2020-03-03 20:24:29.734+00,2022-05-17 22:39:20.147+00,138,1,2018-2022
253,2019-2022 (5th Gen),,,,true,2019-09-09 19:45:05.246+00,2022-06-08 16:40:25.675+00,101,1,2019-2021-5th-gen
246,2006-2009,,,,true,2019-09-09 19:45:05.227+00,2019-09-27 19:14:49.103+00,100,1,2006-2009
251,1994-2001,,,,true,2019-09-09 19:45:05.246+00,2019-09-27 19:14:49.103+00,101,1,1994-2001
260,1987-1996,,,,true,2019-09-09 19:45:05.286+00,2019-09-27 19:14:49.103+00,103,1,1987-1996
256,2007-2009,,,,true,2019-09-09 19:45:05.283+00,2019-09-27 19:14:49.103+00,102,1,2007-2009
341,2005-2007,,,,true,2020-08-18 13:17:52.905+00,2020-08-18 13:17:52.905+00,77,1,2005-2007
275,2006-2018,,,,true,2019-09-09 19:45:05.505+00,2019-09-27 19:14:49.104+00,112,1,2006-2018
347,1998-2002 (Sport Only),,,,true,2020-08-18 21:17:09.609+00,2020-08-18 21:17:09.609+00,100,1,1998-2002_sport
294,2014-2017,,,,true,2019-09-09 19:45:05.843+00,2019-09-27 19:14:49.104+00,128,1,2014-2017
241,1980-1986,,,,true,2019-09-09 19:45:05.179+00,2019-09-27 19:14:49.103+00,,1,1980-1986
301,1972-1980,,,,true,2020-01-14 07:33:00.856+00,2020-01-14 07:33:00.856+00,101,1,1972-1980
285,2007-2018,,,,true,2019-09-09 19:45:05.701+00,2020-01-14 08:06:35.942+00,121,1,2007-2018
305,1989.5-1995,,,,true,2020-01-14 08:10:11.714+00,2020-01-14 08:10:11.714+00,110,1,19895-1995
306,2003-2005,,,,true,2020-01-14 08:10:21.894+00,2020-01-14 08:10:21.894+00,110,1,2003-2005
313,1967-1972,,,,true,2020-02-10 16:22:06.175+00,2020-02-10 16:22:06.175+00,79,1,1967-1972
322,2010-2018,,,,true,2020-02-13 23:50:59.741+00,2020-02-13 23:50:59.741+00,135,1,2010-2018
270,2014-2021,,,,true,2019-09-09 19:45:05.406+00,2020-09-25 22:52:30.387+00,109,1,2014-2021
329,1987-1995,,,,true,2020-03-03 20:44:38.876+00,2020-03-03 20:44:38.876+00,139,1,1987-1995
330,1967-1972,,,,true,2020-03-12 15:18:59.848+00,2020-03-12 15:18:59.848+00,95,1,1967-1972
335,2014-2016,,,,false,2020-03-13 18:11:18.915+00,2020-03-13 18:11:18.915+00,122,1,2014-2016
352,2001-2012 (Flareside Only),,,,true,2021-02-08 20:30:47.975+00,2021-02-08 20:30:47.975+00,74,1,2001-2012_Flareside
231,2000-2006,,,,true,2019-09-09 19:45:05.062+00,2019-09-27 19:14:49.1+00,,1,2000-2006
353,2001-2005,,,,true,2021-05-20 21:14:04.156+00,2021-05-20 21:14:04.156+00,144,1,2001-2005
